name,score,pt_corr,pt_q25,pt_med,pt_q75,pt_max,nodes,edges,roots,knn15,procrustes_rmse,jump99,jumpmax,embedding_variant,graph_variant,density_gamma,max_iter,inner_iter,local_weight,n_global_landmarks,max_global_targets_per_source,n_local_neighbors,novel_score
deep_balanced_g0p65_m100_i5_graph_default,0.31925087012147707,0.5113242939075766,3.66308318420623,5.3962376061552,7.93392821541737,11.9475243917281,19,19,1,0.10221056575496439,0.3847892060599896,3.5823737797459696,6.164937108075948,deep_balanced_g0p65_m100_i5,graph_default,0.65,100,5,25.0,150,220,40,0.7179598786346342
deep_balanced_g0p65_m100_i5_graph_no_partition,0.31925087012147707,0.5113242939075766,3.66308318420623,5.3962376061552,7.93392821541737,11.9475243917281,19,19,1,0.10221056575496439,0.3847892060599896,3.5823737797459696,6.164937108075948,deep_balanced_g0p65_m100_i5,graph_no_partition,0.65,100,5,25.0,150,220,40,0.7179598786346342
deep_balanced_g0p65_m100_i5_graph_smooth_no_partition,-0.08433299001985808,0.16479054653770056,0.0034585807536612,2.43803170351492,10.1636490577619,12.1422795031021,11,10,1,0.10221056575496439,0.3847892060599896,2.914802550006211,10.520805070420069,deep_balanced_g0p65_m100_i5,graph_smooth_no_partition,0.65,100,5,25.0,150,220,40,0.34016079480794165
deep_balanced_g0p65_m100_i5_graph_detailed_no_partition,0.49870402910133704,0.5949486142793109,5.7525076496849,8.16410946091152,11.9674901912652,18.7230307433666,59,60,1,0.10221056575496439,0.3847892060599896,5.0493792199361005,10.845778459372749,deep_balanced_g0p65_m100_i5,graph_detailed_no_partition,0.65,100,5,25.0,150,220,40,0.8706189619329339
deep_balanced_g0p65_m100_i5_graph_pruned_partition,0.4480113050993333,0.5882661642436299,4.30500680227083,7.53052551476566,10.0987105558911,18.9382005327409,25,24,1,0.10221056575496439,0.3847892060599896,4.597840460893631,11.265933595414012,deep_balanced_g0p65_m100_i5,graph_pruned_partition,0.65,100,5,25.0,150,220,40,0.8279339629266093
deep_global_g0p65_m100_i5_graph_default,0.506065782708575,0.7496386619232689,3.81672056147795,5.10219727897194,6.88922701978408,8.0350116585842,13,12,1,0.10298488822280505,0.3843770883222586,2.882761070901721,5.80665906687134,deep_global_g0p65_m100_i5,graph_default,0.65,100,5,12.0,180,260,25,0.9254480220251937
deep_global_g0p65_m100_i5_graph_no_partition,0.506065782708575,0.7496386619232689,3.81672056147795,5.10219727897194,6.88922701978408,8.0350116585842,13,12,1,0.10298488822280505,0.3843770883222586,2.882761070901721,5.80665906687134,deep_global_g0p65_m100_i5,graph_no_partition,0.65,100,5,12.0,180,260,25,0.9254480220251937
deep_global_g0p65_m100_i5_graph_smooth_no_partition,-0.06753436664130587,0.18459606240233653,0.023667290600949,0.574263595187819,6.67396882553346,12.5653544523726,11,10,1,0.10298488822280505,0.3843770883222586,3.6288577355217493,7.40663738746392,deep_global_g0p65_m100_i5,graph_smooth_no_partition,0.65,100,5,12.0,180,260,25,0.3392712459125039
deep_global_g0p65_m100_i5_graph_detailed_no_partition,0.4921281377372607,0.5479129323093516,5.30095479199602,7.48415403425033,11.0734625176655,17.236451677541,53,53,1,0.10298488822280505,0.3843770883222586,5.65888362476921,11.103087438147488,deep_global_g0p65_m100_i5,graph_detailed_no_partition,0.65,100,5,12.0,180,260,25,0.8496487207537914
deep_global_g0p65_m100_i5_graph_pruned_partition,0.22169169504545527,0.3948824884948932,2.87564839432797,5.83514624234875,9.90557414267906,14.8553721894537,21,20,1,0.10298488822280505,0.3843770883222586,4.028048304624071,9.59375484016674,deep_global_g0p65_m100_i5,graph_pruned_partition,0.65,100,5,12.0,180,260,25,0.6160803067193148
deep_density_g0p75_m80_i5_graph_default,0.5735454451306261,0.744943012704495,4.75796031295421,7.27081606054735,8.13408508251377,10.3773990606802,22,22,1,0.09866366928937181,0.3759110567934499,3.3076440254080453,7.69592565692691,deep_density_g0p75_m80_i5,graph_default,0.75,80,5,25.0,150,220,40,0.9724745777252659
deep_density_g0p75_m80_i5_graph_no_partition,0.5735454451306261,0.744943012704495,4.75796031295421,7.27081606054735,8.13408508251377,10.3773990606802,22,22,1,0.09866366928937181,0.3759110567934499,3.3076440254080453,7.69592565692691,deep_density_g0p75_m80_i5,graph_no_partition,0.75,80,5,25.0,150,220,40,0.9724745777252659
deep_density_g0p75_m80_i5_graph_smooth_no_partition,0.23595037809415326,0.486792850218624,5.30281105090727,6.92163559068594,9.21674070636583,10.6699304486636,13,12,1,0.09866366928937181,0.3759110567934499,4.2941969444429,4.95934681958905,deep_density_g0p75_m80_i5,graph_smooth_no_partition,0.75,80,5,25.0,150,220,40,0.6595825925251116
deep_density_g0p75_m80_i5_graph_detailed_no_partition,0.6763704989320691,0.7164085157556348,4.83563563890345,9.25966963028039,11.666578396812,20.7269900163313,52,53,1,0.09866366928937181,0.3759110567934499,4.6639176992900016,10.25769552182477,deep_density_g0p75_m80_i5,graph_detailed_no_partition,0.75,80,5,25.0,150,220,40,1.0333787744858574
deep_density_g0p75_m80_i5_graph_pruned_partition,0.24358848049719134,0.41563588246744754,5.3960736969513,6.44824427711307,9.05756403253026,15.5024310112018,21,20,1,0.09866366928937181,0.3759110567934499,3.656438263623892,10.816003429343368,deep_density_g0p75_m80_i5,graph_pruned_partition,0.75,80,5,25.0,150,220,40,0.6378479748721227
