optimizer,alpha_embedding,max_iter,inner_iter,stress_optimizer,full_geodesic_stress,cbdir,icvcoh,runtime_s,embedding_file
smacof_refined,0.3,30,,1208861549.5092492,1777055025.7042866,0.31761348941629625,0.5488568937315607,93.6398976908531,smacof_a0p3_iter30_refined.npz
smacof_refined,0.6,30,,825431143.4792286,3009026952.602004,0.39340217944771905,0.5781030328695579,108.97013570484705,smacof_a0p6_iter30_refined.npz
path_frozen_refined,0.5,15,10,24096054.466671146,3340581860.6988025,0.5601024391446715,0.46055143881334226,261.70160929788835,path_frozen_a0p5_iter15_inner10_refined.npz
