optimizer,alpha_embedding,max_iter,inner_iter,stress_optimizer,full_geodesic_stress,cbdir,icvcoh,runtime_s,embedding_file
smacof,0.3,5,,1469587537.719818,2728120249.2588506,0.46504642376738664,0.587456685302483,17.027139354031533,smacof_a0p3_iter5.npz
smacof,0.5,5,,831583239.5226725,2723196924.262276,0.4539160781874133,0.599122770532445,21.446390260010958,smacof_a0p5_iter5.npz
smacof,0.6,5,,733023017.2693816,2661357614.518074,0.447493856136239,0.6029702250583807,22.88006038311869,smacof_a0p6_iter5.npz
smacof,0.7,5,,830728220.09777,2901931645.5343094,0.439793023653557,0.6065462938158402,19.99039683700539,smacof_a0p7_iter5.npz
smacof,0.8,5,,1207499745.49876,3572081328.290632,0.4302753216440081,0.609553260970561,16.270440002903342,smacof_a0p8_iter5.npz
smacof,0.9,5,,2210916186.730168,4944931614.376581,0.4159115274514775,0.6098487199234284,13.020766723901033,smacof_a0p9_iter5.npz
path_frozen,0.5,3,3,254379467.56272152,6495008476.616275,0.5808569791034671,0.5851617032979292,16.77095745294355,path_frozen_a0p5_iter3_inner3.npz
path_frozen,0.7,3,3,262419331.43277627,6851519137.774426,0.5803605827816051,0.5852950712003256,16.918482539011165,path_frozen_a0p7_iter3_inner3.npz
path_frozen,0.9,3,3,274604642.0385007,7364057822.941956,0.5799418318386994,0.5849039956863088,16.80992840998806,path_frozen_a0p9_iter3_inner3.npz
