name,file,alpha,spearman,sign,gamma,mean_abs_emb,n_pairs,n_strong
smacof a0.6 quick,smacof_a0p6_iter5.npz,0.6,0.778420415687461,0.828198617576527,0.8479806010051257,0.3200296812886076,74671,70890
smacof a0.6 refined,smacof_a0p6_iter30_refined.npz,0.6,0.7775630196302031,0.831950909860347,0.7544355313665395,0.28429038914035565,74671,70890
smacof a0.3 refined,smacof_a0p3_iter30_refined.npz,0.3,0.7223480100244883,0.8068980110029623,0.31553423107539574,0.12608153112798542,74671,70890
path_frozen a0.5 refined,path_frozen_a0p5_iter15_inner10_refined.npz,0.5,0.19409783438928682,0.5569755959937932,0.1624248910774856,0.22984719156106215,74671,70890
path_frozen gk20 lw0.1,pf_a0p5_gk20_lw0p1_iter5_inner8.npz,0.5,0.09564900916008892,0.5221610946536888,0.08427489663055202,0.22943177914533697,74671,70890
path_frozen gk50 lw0.0,pf_a0p5_gk50_lw0p0_iter5_inner8.npz,0.5,0.10018292213286673,0.522626604598674,0.08853993863024567,0.23341189467057838,74671,70890
path_frozen gk35 lw3.0,pf_a0p5_gk35_lw3p0_iter5_inner8.npz,0.5,0.2896636682930909,0.5976865566370433,0.23925969629419236,0.22548903659677327,74671,70890
