optimizer,alpha_embedding,max_iter,inner_iter,stress_optimizer,full_geodesic_stress,cbdir,icvcoh,runtime_s,embedding_file
smacof,0.4,20,,847836941.6549034,2007073758.5132887,0.3666608000386547,0.565609552565114,69.86205275007524,smacof_a0p4_iter20.npz
smacof,0.6,20,,767815593.6970028,2582883781.3999805,0.39783180701241033,0.5816754017361928,85.78862784197554,smacof_a0p6_iter20.npz
smacof,0.8,20,,1549492083.0093577,4720269283.613876,0.44223296582927146,0.5962700598337356,73.28413124801591,smacof_a0p8_iter20.npz
smacof,0.95,20,,2910545117.2637215,7579862562.943188,0.4600818690835538,0.5923082195193008,56.61331745702773,smacof_a0p95_iter20.npz
path_frozen,0.4,5,8,92161186.74001317,4503254416.07396,0.5916670651000534,0.5099422899750189,71.56555565702729,path_frozen_a0p4_quick.npz
