embedding,embedding_dim,gamma,mean_abs_data_asymmetry,mean_abs_embedding_asymmetry,n_neighbors,n_pairs,n_strong_pairs,neighbor_space,normalized_mse,pearson,sign_accuracy,spearman,tau,transition_graph_neighbors,velocity_alpha,velocity_cache,velocity_projection_source,weighted_sign_accuracy
pancreas_umap_dynamical_s42.npy,2,1.27750057574,0.248769476603,0.742392537785,30,74671,70813,expression_pca,5.5279177565,0.480057909436,0.685622696398,0.485488934636,0.02,30,2,pancreas_velocity_inputs_dynamical_s42.npz,directed_distance_cache_projected_to_umap,0.759352129799
pancreas_umap_3d_dynamical_s42.npy,3,1.28866279749,0.248769476603,0.675782906894,30,74671,70813,expression_pca,4.48642271661,0.523378543693,0.697386073179,0.534662851852,0.02,30,2,pancreas_velocity_inputs_dynamical_s42.npz,directed_distance_cache_projected_to_umap,0.774610013541
