embedding,file,dim,velocity_cache,velocity_alpha,neighbor_space,cbdir,icvcoh,asym_spearman,asym_sign_accuracy,asym_weighted_sign_accuracy,asym_gamma,mean_abs_data_asymmetry,mean_abs_embedding_asymmetry,n_pairs,n_strong_pairs
UMAP 2D,pancreas_umap_dynamical_s42.npy,2,pancreas_velocity_inputs_dynamical_s42.npz,2.0,expression_pca,0.5030864049356957,0.7340797147083783,0.48548893463611126,0.6856226963975541,0.7593521297989629,1.2775005757406255,0.24876947660290155,0.7423925377846274,74671,70813
UMAP 3D,pancreas_umap_3d_dynamical_s42.npy,3,pancreas_velocity_inputs_dynamical_s42.npz,2.0,expression_pca,0.49831396552250995,0.7248782803348434,0.5346628518516605,0.6973860731786536,0.7746100135406173,1.2886627974917142,0.24876947660290155,0.6757829068943165,74671,70813
Isomap 2D,pancreas_isomap_k30_s42.npy,2,pancreas_velocity_inputs_dynamical_s42.npz,2.0,expression_pca,0.5884784341749749,0.5143352479018956,0.3807615286983417,0.646562071935944,0.7034662195149736,0.9513598263590783,0.24876947660290155,0.6816210442975713,74671,70813
Isomap 3D,pancreas_isomap_3d_k30_s42.npy,3,pancreas_velocity_inputs_dynamical_s42.npz,2.0,expression_pca,0.5621984937359112,0.49519681289055417,0.42840415347785993,0.6620253343312669,0.7255299001031439,0.9910773799860173,0.24876947660290155,0.6245450955526906,74671,70813
