cbdir,cbdir_ngn3_high_ep_to_pre_endocrine,cbdir_ngn3_high_ep_to_pre_endocrine_boundary_cells,cbdir_ngn3_high_ep_to_pre_endocrine_neighbor_pairs,cbdir_pre_endocrine_to_alpha,cbdir_pre_endocrine_to_alpha_boundary_cells,cbdir_pre_endocrine_to_alpha_neighbor_pairs,cbdir_pre_endocrine_to_beta,cbdir_pre_endocrine_to_beta_boundary_cells,cbdir_pre_endocrine_to_beta_neighbor_pairs,cbdir_pre_endocrine_to_delta,cbdir_pre_endocrine_to_delta_boundary_cells,cbdir_pre_endocrine_to_delta_neighbor_pairs,cbdir_pre_endocrine_to_epsilon,cbdir_pre_endocrine_to_epsilon_boundary_cells,cbdir_pre_endocrine_to_epsilon_neighbor_pairs,embedding,embedding_dim,eval_neighbors,icvcoh,icvcoh_alpha,icvcoh_alpha_cells,icvcoh_alpha_neighbor_pairs,icvcoh_beta,icvcoh_beta_cells,icvcoh_beta_neighbor_pairs,icvcoh_delta,icvcoh_delta_cells,icvcoh_delta_neighbor_pairs,icvcoh_ductal,icvcoh_ductal_cells,icvcoh_ductal_neighbor_pairs,icvcoh_epsilon,icvcoh_epsilon_cells,icvcoh_epsilon_neighbor_pairs,icvcoh_ngn3_high_ep,icvcoh_ngn3_high_ep_cells,icvcoh_ngn3_high_ep_neighbor_pairs,icvcoh_ngn3_low_ep,icvcoh_ngn3_low_ep_cells,icvcoh_ngn3_low_ep_neighbor_pairs,icvcoh_pre_endocrine,icvcoh_pre_endocrine_cells,icvcoh_pre_endocrine_neighbor_pairs,mode,n_cells,neighbor_space,velocity_source
0.601435771048,0.688920623037,119,473,0.652966719568,88,502,0.703853423819,171,900,0.00896091525689,22,94,0.0764521858384,37,182,pancreas_scvelo_umap_stochastic_s42.npz,2,30,0.752943434614,0.427554735509,481,12248,0.812248121963,591,15818,0.430094010753,70,1840,0.636882958002,916,22561,0.897627540279,142,3475,0.967192983014,642,17544,0.699570516583,260,3096,0.932263292559,592,14691,stochastic,3696,expression,scvelo_velocity_umap
0.336535115091,0.42926172973,118,433,0.35860679482,101,509,0.26842094995,136,668,0.408937562163,62,249,-0.0832851568866,20,148,pancreas_scvelo_umap_stochastic_s42.npz,2,30,0.757554741693,0.496355212139,479,13329,0.813888425392,585,16564,0.559011388761,69,1919,0.609169269218,916,23163,0.901828197167,142,3778,0.969873465022,642,18397,0.693696735886,260,3026,0.930029417902,589,15739,stochastic,3696,umap,scvelo_velocity_umap
0.566435461045,0.629017068576,119,473,0.560861880326,88,502,0.661853808965,171,900,-0.221117912007,22,94,0.405703042669,37,182,pancreas_scvelo_umap_dynamical_s42.npz,2,30,0.679228795335,0.431470076694,481,12248,0.901298052157,591,15818,0.0905700211607,70,1840,0.436619310838,916,22561,0.699546292197,142,3475,0.949333723317,642,17544,0.485589386178,260,3096,0.891085573944,592,14691,dynamical,3696,expression,scvelo_velocity_umap
0.307834418602,0.423356161233,118,433,0.271960397586,101,509,0.252992468286,136,668,0.283514538812,62,249,0.2557368327,20,148,pancreas_scvelo_umap_dynamical_s42.npz,2,30,0.693706390746,0.520873433294,479,13329,0.912207808504,585,16564,0.122336742253,69,1919,0.43231530327,916,23163,0.705737653643,142,3778,0.958645566853,642,18397,0.49608126261,260,3026,0.886245511339,589,15739,dynamical,3696,umap,scvelo_velocity_umap
