name,pdf,nodes,roots,pt_q01,pt_q50,pt_q95,pt_q99,pt_max
ncenter70_nnk35_minbranch5,classic_mds_alpha0_ncenter70_nnk35_minbranch5.pdf,48,1,0.0019219636615352,0.3807345932857103,0.8697108294157767,0.931350232371534,1.0
ncenter85_nnk35_minbranch5,classic_mds_alpha0_ncenter85_nnk35_minbranch5.pdf,45,1,0.0019987638479849,0.4650580067659581,0.7688306967914245,0.9193389762357675,1.0
ncenter100_nnk40_minbranch3,classic_mds_alpha0_ncenter100_nnk40_minbranch3.pdf,80,1,0.0317516729083323,0.4850773839901905,0.9139595549591972,0.9757817147296952,1.0
ncenter120_nnk28_minbranch3,classic_mds_alpha0_ncenter120_nnk28_minbranch3.pdf,101,1,0.0091183063383263,0.4506497734381862,0.7343465959197589,0.984344479380294,1.0
